NAME,Soil,Veg,Imp,TempMin,TempMed,TempMax
SV02,8.000000000000000,84.000000000000000,6.000000000000000,16.000000000000000,24.000000000000000,29.000000000000000
SV07,12.000000000000000,68.000000000000000,18.000000000000000,15.000000000000000,22.000000000000000,27.000000000000000
SL01,24.000000000000000,52.000000000000000,22.000000000000000,14.000000000000000,24.000000000000000,29.000000000000000
SV05,20.000000000000000,48.000000000000000,30.000000000000000,21.000000000000000,27.000000000000000,32.000000000000000
SL02,22.000000000000000,51.000000000000000,25.000000000000000,15.000000000000000,24.000000000000000,30.000000000000000
SV06,30.000000000000000,46.000000000000000,22.000000000000000,19.000000000000000,26.000000000000000,30.000000000000000
SV01,39.000000000000000,38.000000000000000,22.000000000000000,19.000000000000000,27.000000000000000,31.000000000000000
SV08,19.000000000000000,48.000000000000000,31.000000000000000,17.000000000000000,24.000000000000000,30.000000000000000
SV04,11.000000000000000,76.000000000000000,12.000000000000000,18.000000000000000,24.000000000000000,29.000000000000000
QUSR,12.000000000000000,71.000000000000000,15.000000000000000,13.000000000000000,22.000000000000000,26.000000000000000
SATE,14.000000000000000,59.000000000000000,25.000000000000000,17.000000000000000,23.000000000000000,29.000000000000000
GABO,5.000000000000000,90.000000000000000,3.000000000000000,15.000000000000000,21.000000000000000,24.000000000000000
GAPA,4.000000000000000,90.000000000000000,5.000000000000000,11.000000000000000,21.000000000000000,25.000000000000000
MELI,4.000000000000000,88.000000000000000,6.000000000000000,9.000000000000000,20.000000000000000,24.000000000000000
RIJA,5.000000000000000,90.000000000000000,3.000000000000000,9.000000000000000,20.000000000000000,24.000000000000000
CB06,28.000000000000000,41.000000000000000,29.000000000000000,20.000000000000000,25.000000000000000,28.000000000000000
CB01,14.000000000000000,63.000000000000000,22.000000000000000,12.000000000000000,23.000000000000000,27.000000000000000
CB05,41.000000000000000,35.000000000000000,23.000000000000000,17.000000000000000,24.000000000000000,29.000000000000000
CB02,33.000000000000000,32.000000000000000,33.000000000000000,18.000000000000000,24.000000000000000,28.000000000000000
CB03,39.000000000000000,37.000000000000000,22.000000000000000,17.000000000000000,25.000000000000000,29.000000000000000
CB04,23.000000000000000,52.000000000000000,23.000000000000000,19.000000000000000,24.000000000000000,30.000000000000000
CN04,18.000000000000000,52.000000000000000,29.000000000000000,18.000000000000000,25.000000000000000,30.000000000000000
CN02,32.000000000000000,23.000000000000000,44.000000000000000,16.000000000000000,27.000000000000000,31.000000000000000
CN05,21.000000000000000,51.000000000000000,27.000000000000000,17.000000000000000,23.000000000000000,27.000000000000000
CN03,29.000000000000000,21.000000000000000,49.000000000000000,17.000000000000000,28.000000000000000,33.000000000000000
CN06,22.000000000000000,56.000000000000000,21.000000000000000,17.000000000000000,23.000000000000000,28.000000000000000
CN01,29.000000000000000,24.000000000000000,45.000000000000000,17.000000000000000,28.000000000000000,32.000000000000000
OP03B,10.000000000000000,77.000000000000000,11.000000000000000,14.000000000000000,24.000000000000000,28.000000000000000
OP01,20.000000000000000,49.000000000000000,30.000000000000000,17.000000000000000,25.000000000000000,29.000000000000000
OP02,11.000000000000000,79.000000000000000,9.000000000000000,17.000000000000000,24.000000000000000,28.000000000000000
OP03,26.000000000000000,50.000000000000000,23.000000000000000,17.000000000000000,24.000000000000000,28.000000000000000
