L8-blue,L8-green,L8-red,L8-nir,L8-swir1,L8-swir2
0.019,0.034,0.067,0.165,0.19,0.105
0.028,0.045,0.071,0.137,0.255,0.173
0.014,0.023,0.045,0.127,0.157,0.082
0.044,0.059,0.084,0.196,0.371,0.239
0.017,0.028,0.05,0.12,0.173,0.105
0.041,0.067,0.108,0.206,0.261,0.165
0.02,0.045,0.086,0.185,0.25,0.15
0.015,0.033,0.07,0.194,0.271,0.15
0.025,0.033,0.052,0.137,0.184,0.11
0.112,0.138,0.167,0.234,0.418,0.38
0.041,0.064,0.103,0.21,0.349,0.227
0.02,0.048,0.092,0.239,0.258,0.131
0.04,0.077,0.162,0.408,0.393,0.218
0.012,0.022,0.043,0.134,0.137,0.07
0.049,0.072,0.106,0.215,0.43,0.33
0.017,0.035,0.078,0.244,0.357,0.209
0.021,0.042,0.081,0.248,0.2,0.101
0.02,0.034,0.058,0.131,0.273,0.18
0.031,0.05,0.08,0.165,0.291,0.202
0.051,0.075,0.108,0.174,0.275,0.191
0.027,0.04,0.058,0.115,0.247,0.192
0.014,0.031,0.08,0.302,0.287,0.135
0.039,0.074,0.148,0.345,0.508,0.333
0.012,0.025,0.063,0.177,0.213,0.105
0.054,0.075,0.097,0.168,0.315,0.262
0.009,0.016,0.028,0.114,0.111,0.052
0.033,0.064,0.114,0.341,0.288,0.149
0.127,0.161,0.201,0.312,0.468,0.32
0.046,0.058,0.071,0.116,0.261,0.243
0.077,0.118,0.151,0.381,0.227,0.146
